Entity,Code,Year,Birds (total endemic)
Afghanistan,AFG,2020,1
Aland Islands,,2020,0
Albania,ALB,2020,0
Algeria,DZA,2020,1
American Samoa,ASM,2020,0
Andorra,AND,2020,0
Angola,AGO,2020,17
Anguilla,AIA,2020,0
Antarctica,ATA,2020,1
Antigua and Barbuda,ATG,2020,1
Argentina,ARG,2020,16
Armenia,ARM,2020,0
Aruba,ABW,2020,0
Australia,AUS,2020,359
Austria,AUT,2020,0
Azerbaijan,AZE,2020,0
Bahamas,BHS,2020,8
Bahrain,BHR,2020,0
Bangladesh,BGD,2020,0
Barbados,BRB,2020,1
Belarus,BLR,2020,0
Belgium,BEL,2020,0
Belize,BLZ,2020,0
Benin,BEN,2020,0
Bermuda,BMU,2020,5
Bhutan,BTN,2020,0
Bolivia,BOL,2020,20
Bonaire Sint Eustatius and Saba,BES,2020,2
Bosnia and Herzegovina,BIH,2020,0
Botswana,BWA,2020,0
Bouvet Island,BVT,2020,0
Brazil,BRA,2020,254
British Indian Ocean Territory,IOT,2020,0
British Virgin Islands,VGB,2020,0
Brunei,BRN,2020,0
Bulgaria,BGR,2020,0
Burkina Faso,BFA,2020,0
Burundi,BDI,2020,0
Cambodia,KHM,2020,2
Cameroon,CMR,2020,6
Canada,CAN,2020,0
Cape Verde,CPV,2020,5
Cayman Islands,CYM,2020,27
Central African Republic,CAF,2020,0
Chad,TCD,2020,0
Chile,CHL,2020,10
China,CHN,2020,70
Christmas Island,CXR,2020,3
Cocos Islands,CCK,2020,0
Colombia,COL,2020,93
Comoros,COM,2020,20
Congo,COG,2020,0
Cook Islands,COK,2020,7
Costa Rica,CRI,2020,8
Cote d'Ivoire,CIV,2020,0
Croatia,HRV,2020,0
Cuba,CUB,2020,0
Curacao,CUW,2020,2
Cyprus,CYP,2020,1
Czechia,CZE,2020,0
Democratic Republic of Congo,COD,2020,14
Denmark,DNK,2020,0
Djibouti,DJI,2020,1
Dominica,DMA,2020,0
Dominican Republic,DOM,2020,2
Ecuador,ECU,2020,42
Egypt,EGY,2020,0
El Salvador,SLV,2020,0
Equatorial Guinea,GNQ,2020,4
Eritrea,ERI,2020,0
Estonia,EST,2020,0
Eswatini,SWZ,2020,0
Ethiopia,ETH,2020,18
Faeroe Islands,FRO,2020,0
Falkland Islands,FLK,2020,3
Fiji,FJI,2020,36
Finland,FIN,2020,0
France,FRA,2020,1
French Guiana,GUF,2020,1
French Polynesia,PYF,2020,44
French Southern Territories,ATF,2020,4
Gabon,GAB,2020,1
Gambia,GMB,2020,0
Georgia,GEO,2020,0
Germany,DEU,2020,0
Ghana,GHA,2020,0
Gibraltar,GIB,2020,0
Greece,GRC,2020,0
Greenland,GRL,2020,0
Grenada,GRD,2020,3
Guadeloupe,GLP,2020,0
Guam,GUM,2020,5
Guatemala,GTM,2020,1
Guernsey,GGY,2020,0
Guinea,GIN,2020,0
Guinea-Bissau,GNB,2020,0
Guyana,GUY,2020,0
Haiti,HTI,2020,31
Heard Island and McDonald Islands,HMD,2020,0
Honduras,HND,2020,1
Hong Kong,HKG,2020,0
Hungary,HUN,2020,0
Iceland,ISL,2020,0
India,IND,2020,74
Indonesia,IDN,2020,525
Iran,IRN,2020,1
Iraq,IRQ,2020,0
Ireland,IRL,2020,0
Isle of Man,IMN,2020,0
Israel,ISR,2020,0
Italy,ITA,2020,0
Jamaica,JAM,2020,0
Japan,JPN,2020,24
Jersey,JEY,2020,0
Jordan,JOR,2020,0
Kazakhstan,KAZ,2020,0
Kenya,KEN,2020,12
Kiribati,KIR,2020,2
Kuwait,KWT,2020,0
Kyrgyzstan,KGZ,2020,0
Laos,LAO,2020,1
Latvia,LVA,2020,0
Lebanon,LBN,2020,0
Lesotho,LSO,2020,0
Liberia,LBR,2020,0
Libya,LBY,2020,0
Liechtenstein,LIE,2020,0
Lithuania,LTU,2020,0
Luxembourg,LUX,2020,0
Macao,MAC,2020,0
Madagascar,MDG,2020,119
Malawi,MWI,2020,1
Malaysia,MYS,2020,9
Maldives,MDV,2020,0
Mali,MLI,2020,0
Malta,MLT,2020,0
Marshall Islands,MHL,2020,0
Martinique,MTQ,2020,2
Mauritania,MRT,2020,0
Mauritius,MUS,2020,29
Mayotte,MYT,2020,2
Mexico,MEX,2020,120
Micronesia (country),FSM,2020,22
Moldova,MDA,2020,0
Monaco,MCO,2020,0
Mongolia,MNG,2020,0
Montenegro,MNE,2020,0
Montserrat,MSR,2020,1
Morocco,MAR,2020,0
Mozambique,MOZ,2020,2
Myanmar,MMR,2020,9
Namibia,NAM,2020,1
Nauru,NRU,2020,1
Nepal,NPL,2020,1
Netherlands,NLD,2020,0
New Caledonia,NCL,2020,27
New Zealand,NZL,2020,91
Nicaragua,NIC,2020,0
Niger,NER,2020,0
Nigeria,NGA,2020,3
Niue,NIU,2020,0
Norfolk Island,NFK,2020,5
North Korea,PRK,2020,0
North Macedonia,MKD,2020,0
Northern Mariana Islands,MNP,2020,6
Norway,NOR,2020,0
Oman,OMN,2020,0
Pakistan,PAK,2020,0
Palau,PLW,2020,13
Palestine,PSE,2020,0
Panama,PAN,2020,9
Papua New Guinea,PNG,2020,114
Paraguay,PRY,2020,0
Peru,PER,2020,134
Philippines,PHL,2020,259
Pitcairn,PCN,2020,6
Poland,POL,2020,0
Portugal,PRT,2020,5
Puerto Rico,PRI,2020,14
Qatar,QAT,2020,0
Reunion,REU,2020,17
Romania,ROU,2020,0
Russia,RUS,2020,2
Rwanda,RWA,2020,0
Saint Barthlemy,,2020,0
Saint Helena,SHN,2020,18
Saint Kitts and Nevis,KNA,2020,0
Saint Lucia,LCA,2020,5
Saint Martin (French part),MAF,2020,0
Saint Pierre and Miquelon,SPM,2020,0
Saint Vincent and the Grenadines,VCT,2020,3
Samoa,WSM,2020,9
San Marino,SMR,2020,0
Sao Tome and Principe,STP,2020,28
Saudi Arabia,SAU,2020,1
Senegal,SEN,2020,0
Serbia,SRB,2020,0
Seychelles,SYC,2020,17
Sierra Leone,SLE,2020,0
Singapore,SGP,2020,0
Sint Maarten (Dutch part),SXM,2020,0
Slovakia,SVK,2020,0
Slovenia,SVN,2020,0
Solomon Islands,SLB,2020,68
Somalia,SOM,2020,9
South Africa,ZAF,2020,18
South Georgia and the South Sandwich Islands,SGS,2020,1
South Korea,KOR,2020,0
South Sudan,SSD,2020,0
Spain,ESP,2020,8
Sri Lanka,LKA,2020,31
Sudan,SDN,2020,1
Suriname,SUR,2020,0
Svalbard and Jan Mayen,SJM,2020,0
Sweden,SWE,2020,0
Switzerland,CHE,2020,0
Syria,SYR,2020,0
Taiwan,TWN,2020,29
Tajikistan,TJK,2020,0
Tanzania,TZA,2020,33
Thailand,THA,2020,3
Timor,TLS,2020,0
Togo,TGO,2020,0
Tokelau,TKL,2020,0
Tonga,TON,2020,3
Trinidad and Tobago,TTO,2020,3
Tunisia,TUN,2020,0
Turkey,TUR,2020,0
Turkmenistan,TKM,2020,0
Turks and Caicos Islands,TCA,2020,0
Tuvalu,TUV,2020,0
Uganda,UGA,2020,1
Ukraine,UKR,2020,0
United Arab Emirates,ARE,2020,0
United Kingdom,GBR,2020,1
United States,USA,2020,77
United States Minor Outlying Islands,UMI,2020,0
United States Virgin Islands,VIR,2020,0
Uruguay,URY,2020,0
Uzbekistan,UZB,2020,0
Vanuatu,VUT,2020,11
Vatican,VAT,2020,0
Venezuela,VEN,2020,52
Vietnam,VNM,2020,10
Wallis and Futuna,WLF,2020,0
Western Sahara,ESH,2020,0
Yemen,YEM,2020,10
Zambia,ZMB,2020,2
Zimbabwe,ZWE,2020,0